Actual,Predicted,nPredictions
Form3B-1,Stratasys900mc-2,0
Form3B-1,M2-6,0
Form3B-5,Stratasys450mc-2,0
Form3B-5,5200-1,0
Form3B-5,Stratasys450mc-1,0
Form3B-5,Stratasys900mc-1,0
Form3B-5,M2-1,0
Form3B-5,Form3B-4,0
Form3B-5,Form3B-2,0
Form3B-5,Form3B-1,0
Form3B-5,Form3B-5,50
Form3B-5,Form3B-6,0
Form3B-5,Form3B-3,0
Form3B-5,4200-1,0
Form3B-5,5200-2,0
Form3B-5,L1-2,0
Form3B-5,L1-1,0
Form3B-5,M2-2,0
Form3B-5,M2-3,0
Form3B-5,M2-4,0
Form3B-5,M2-5,0
Form3B-5,Stratasys900mc-2,0
Form3B-5,M2-6,0
Form3B-6,Stratasys450mc-2,0
Form3B-6,5200-1,0
Form3B-6,Stratasys450mc-1,0
Form3B-6,Stratasys900mc-1,0
Form3B-6,M2-1,0
Form3B-6,Form3B-4,0
Form3B-6,Form3B-2,0
Form3B-6,Form3B-1,0
Form3B-6,Form3B-5,0
Form3B-6,Form3B-6,49
Form3B-6,Form3B-3,1
Form3B-6,4200-1,0
Form3B-6,5200-2,0
Form3B-6,L1-2,0
Form3B-6,L1-1,0
Form3B-6,M2-2,0
Form3B-6,M2-3,0
Form3B-6,M2-4,0
Form3B-6,M2-5,0
Form3B-6,Stratasys900mc-2,0
Form3B-6,M2-6,0
Form3B-3,Stratasys450mc-2,0
Form3B-3,5200-1,0
Form3B-3,Stratasys450mc-1,0
Form3B-3,Stratasys900mc-1,0
Form3B-3,M2-1,0
Form3B-3,Form3B-4,0
Form3B-3,Form3B-2,0
Form3B-3,Form3B-1,0
Form3B-3,Form3B-5,1
Form3B-3,Form3B-6,0
Form3B-3,Form3B-3,49
Form3B-3,4200-1,0
Form3B-3,5200-2,0
Form3B-3,L1-2,0
Form3B-3,L1-1,0
Form3B-3,M2-2,0
Form3B-3,M2-3,0
Form3B-3,M2-4,0
Form3B-3,M2-5,0
Form3B-3,Stratasys900mc-2,0
Form3B-3,M2-6,0
4200-1,Stratasys450mc-2,0
4200-1,5200-1,0
4200-1,Stratasys450mc-1,0
4200-1,Stratasys900mc-1,0
4200-1,M2-1,0
4200-1,Form3B-4,0
4200-1,Form3B-2,0
4200-1,Form3B-1,0
4200-1,Form3B-5,0
4200-1,Form3B-6,0
4200-1,Form3B-3,0
4200-1,4200-1,50
4200-1,5200-2,0
4200-1,L1-2,0
4200-1,L1-1,0
4200-1,M2-2,0
4200-1,M2-3,0
4200-1,M2-4,0
4200-1,M2-5,0
4200-1,Stratasys900mc-2,0
4200-1,M2-6,0
5200-2,Stratasys450mc-2,0
5200-2,5200-1,3
5200-2,Stratasys450mc-1,0
5200-2,Stratasys900mc-1,0
5200-2,M2-1,0
5200-2,Form3B-4,0
5200-2,Form3B-2,0
5200-2,Form3B-1,0
5200-2,Form3B-5,0
5200-2,Form3B-6,0
5200-2,Form3B-3,0
5200-2,4200-1,0
5200-2,5200-2,47
5200-2,L1-2,0
5200-2,L1-1,0
5200-2,M2-2,0
5200-2,M2-3,0
5200-2,M2-4,0
5200-2,M2-5,0
5200-2,Stratasys900mc-2,0
5200-2,M2-6,0
L1-2,Stratasys450mc-2,0
L1-2,5200-1,0
L1-2,Stratasys450mc-1,0
L1-2,Stratasys900mc-1,0
L1-2,M2-1,0
L1-2,Form3B-4,0
L1-2,Form3B-2,0
L1-2,Form3B-1,0
L1-2,Form3B-5,0
L1-2,Form3B-6,0
